        Frequency / GHz                S1,1[1.0,0.0]+2[1.0,90],[0.85] (LIFA2=34)/abs,dB
----------------------------------------------------------------------
              0.40000001                    -0.012288738
              0.40090001                    -0.017564681
              0.40180001                    -0.022946897
              0.40270001                    -0.028376866
              0.40360001                    -0.033795478
              0.40450001                    -0.039147029
              0.40540001                    -0.044374788
              0.40630001                    -0.049426077
              0.40720001                    -0.054248854
              0.40810001                    -0.058795589
              0.40900001                    -0.063021678
              0.40990001                    -0.066885462
              0.41080001                    -0.070353307
              0.41170001                    -0.073393263
              0.41260001                    -0.075977893
              0.41350001                    -0.078086665
              0.41440001                    -0.079705627
              0.41530001                    -0.080823691
              0.41620001                    -0.081436666
              0.41710001                    -0.081546959
              0.41800001                    -0.081159949
              0.41890001                    -0.080289534
              0.41980001                    -0.078951114
              0.42070001                    -0.077168213
              0.42160001                    -0.074966653
              0.42250001                    -0.072377509
              0.42340001                    -0.069436067
              0.42429999                    -0.066178259
              0.42519999                    -0.062646244
              0.42609999                    -0.058881186
              0.42699999                    -0.054929543
              0.42789999                      -0.0508353
              0.42879999                    -0.046645218
              0.42969999                    -0.042406626
              0.43059999                    -0.038164742
              0.43149999                    -0.033967516
              0.43239999                    -0.029857448
              0.43329999                    -0.025877142
              0.43419999                    -0.022068498
              0.43509999                    -0.018469039
              0.43599999                    -0.015112606
              0.43689999                    -0.012033187
              0.43779999                   -0.0092585904
              0.43869999                   -0.0068148402
              0.43959999                   -0.0047225781
              0.44049999                   -0.0030001625
              0.44139999                   -0.0016581836
              0.44229999                  -0.00070881256
              0.44319999                  -0.00015518478
              0.44409999                   1.3642786e-07
              0.44499999                  -0.00023765026
              0.44589999                  -0.00086148284
              0.44679999                   -0.0018605699
              0.44769999                   -0.0032205504
              0.44859999                   -0.0049222835
              0.44949999                   -0.0069438417
              0.45039999                   -0.0092602386
                  0.4513                    -0.011845512
                  0.4522                    -0.014667662
                  0.4531                    -0.017696437
                   0.454                    -0.020895469
                  0.4549                    -0.024231492
                  0.4558                    -0.027667623
                  0.4567                    -0.031166219
                  0.4576                      -0.0346911
                  0.4585                    -0.038204432
                  0.4594                    -0.041669466
                  0.4603                    -0.045051219
                  0.4612                    -0.048314042
                  0.4621                    -0.051425994
                   0.463                    -0.054356198
                  0.4639                    -0.057076991
                  0.4648                    -0.059561106
                  0.4657                    -0.061785209
                  0.4666                    -0.063730435
                  0.4675                    -0.065379321
                  0.4684                    -0.066718432
                  0.4693                    -0.067738321
                  0.4702                    -0.068431517
                  0.4711                    -0.068796083
                   0.472                    -0.068833534
                  0.4729                     -0.06854639
                  0.4738                    -0.067943524
                  0.4747                    -0.067036493
                  0.4756                    -0.065839077
                  0.4765                    -0.064368263
                  0.4774                    -0.062643885
              0.47830001                    -0.060689694
              0.47920001                    -0.058529242
              0.48010001                    -0.056188503
              0.48100001                    -0.053696608
              0.48190001                    -0.051082892
              0.48280001                    -0.048377211
              0.48370001                    -0.045609357
              0.48460001                    -0.042813401
              0.48550001                    -0.040017393
              0.48640001                    -0.037252283
              0.48730001                    -0.034548585
              0.48820001                    -0.031934964
              0.48910001                    -0.029437896
              0.49000001                    -0.027084961
              0.49090001                    -0.024898387
              0.49180001                    -0.022902259
              0.49270001                    -0.021113471
              0.49360001                     -0.01955171
              0.49450001                    -0.018230535
              0.49540001                    -0.017162617
              0.49630001                    -0.016355791
              0.49720001                    -0.015817289
              0.49810001                     -0.01555129
              0.49900001                     -0.01555906
              0.49990001                    -0.015835889
              0.50080001                    -0.016380999
              0.50169998                    -0.017181473
              0.50260001                     -0.01823182
              0.50349998                    -0.019516691
              0.50440001                    -0.021022321
              0.50529999                    -0.022730885
              0.50620002                    -0.024623525
              0.50709999                    -0.026680179
              0.50800002                    -0.028877476
              0.50889999                    -0.031192059
              0.50980002                    -0.033600042
              0.51069999                    -0.036074884
              0.51160002                     -0.03859226
              0.51249999                     -0.04112484
              0.51340002                    -0.043646576
              0.51429999                    -0.046133879
              0.51520002                    -0.048558492
              0.51609999                    -0.050899194
              0.51700002                    -0.053132186
              0.51789999                    -0.055234992
              0.51880002                    -0.057187827
              0.51969999                    -0.058973455
              0.52060002                    -0.060573468
              0.52149999                    -0.061975819
              0.52240002                    -0.063166749
              0.52329999                    -0.064138825
              0.52420002                    -0.064882015
              0.52509999                    -0.065394473
              0.52600002                    -0.065672991
              0.52689999                    -0.065718163
              0.52780002                    -0.065533673
              0.52869999                    -0.065123954
              0.52960002                    -0.064496901
              0.53049999                    -0.063663688
              0.53140002                    -0.062635951
                  0.5323                    -0.061427758
              0.53320003                    -0.060054592
                  0.5341                    -0.058536149
              0.53500003                    -0.056889493
                  0.5359                     -0.05513447
              0.53680003                    -0.053294364
                  0.5377                    -0.051389948
              0.53860003                    -0.049443862
                  0.5395                    -0.047478257
              0.54040003                    -0.045516425
                  0.5413                    -0.043578776
              0.54220003                    -0.041690656
                  0.5431                    -0.039870332
              0.54400003                    -0.038138528
                  0.5449                    -0.036516396
              0.54579997                    -0.035018641
                  0.5467                    -0.033664347
              0.54759997                     -0.03246664
                  0.5485                    -0.031439553
              0.54939997                    -0.030593656
                  0.5503                     -0.02993846
              0.55119997                    -0.029479917
                  0.5521                    -0.029223727
              0.55299997                    -0.029173975
                  0.5539                     -0.02932943
              0.55479997                    -0.029688777
                  0.5557                    -0.030249925
              0.55659997                    -0.031006061
                  0.5575                    -0.031950197
              0.55839998                      -0.0330729
              0.55930001                    -0.034362746
              0.56019998                     -0.03580649
              0.56110001                    -0.037390202
              0.56199998                    -0.039098446
              0.56290001                    -0.040914376
              0.56379998                    -0.042819621
              0.56470001                    -0.044794553
              0.56559998                     -0.04682135
              0.56650001                    -0.048879386
              0.56739998                    -0.050949279
              0.56830001                    -0.053011275
              0.56919998                    -0.055044878
              0.57010001                    -0.057032596
              0.57099998                    -0.058953284
              0.57190001                     -0.06079096
              0.57279998                    -0.062528516
              0.57370001                    -0.064150485
              0.57459998                    -0.065642493
              0.57550001                    -0.066992299
              0.57639998                    -0.068188289
              0.57730001                    -0.069220576
              0.57819998                    -0.070082504
              0.57910001                    -0.070767917
              0.57999998                    -0.071274079
              0.58090001                    -0.071598383
              0.58179998                    -0.071742427
              0.58270001                    -0.071705959
              0.58359998                    -0.071495651
              0.58450001                    -0.071117332
              0.58539999                    -0.070577796
              0.58630002                    -0.069887036
              0.58719999                    -0.069056347
              0.58810002                    -0.068097403
              0.58899999                    -0.067026313
              0.58990002                    -0.065856053
              0.59079999                    -0.064603989
              0.59170002                    -0.063286543
              0.59259999                    -0.061921714
              0.59350002                    -0.060526465
              0.59439999                    -0.059119498
              0.59530002                    -0.057718538
              0.59619999                    -0.056343505
              0.59710002                     -0.05500949
              0.59799999                    -0.053736094
              0.59890002                    -0.052538589
              0.59979999                    -0.051432726
              0.60070002                    -0.050432903
              0.60159999                    -0.049553806
              0.60250002                    -0.048806669
              0.60339999                    -0.048202844
              0.60430002                    -0.047750121
              0.60519999                    -0.047459068
              0.60610002                    -0.047332758
              0.60699999                    -0.047377004
              0.60790002                    -0.047593693
              0.60879999                    -0.047984405
              0.60970002                    -0.048548855
              0.61059999                    -0.049281983
              0.61150002                    -0.050180598
                  0.6124                    -0.051240024
              0.61330003                    -0.052450603
                  0.6142                    -0.053803365
              0.61510003                    -0.055288617
                   0.616                    -0.056894917
              0.61690003                    -0.058606081
                  0.6178                    -0.060412695
              0.61870003                    -0.062295411
                  0.6196                    -0.064242073
              0.62050003                     -0.06623455
                  0.6214                    -0.068257236
              0.62230003                    -0.070292158
                  0.6232                     -0.07232378
              0.62410003                    -0.074333788
                   0.625                    -0.076308206
              0.62589997                    -0.078229259
                  0.6268                    -0.080083175
              0.62769997                    -0.081854032
                  0.6286                    -0.083529826
              0.62949997                    -0.085098274
                  0.6304                    -0.086547528
              0.63129997                    -0.087868159
                  0.6322                    -0.089053375
              0.63309997                    -0.090095155
                   0.634                     -0.09098927
              0.63489997                    -0.091732488
                  0.6358                    -0.092321826
              0.63669997                    -0.092758853
                  0.6376                    -0.093046453
              0.63849998                    -0.093186761
              0.63940001                    -0.093184882
              0.64029998                    -0.093048273
              0.64120001                     -0.09278461
              0.64209998                    -0.092404765
              0.64300001                    -0.091919244
              0.64389998                    -0.091340161
              0.64480001                    -0.090681078
              0.64569998                    -0.089956723
              0.64660001                    -0.089180685
              0.64749998                    -0.088369738
              0.64840001                    -0.087541059
              0.64929998                    -0.086708359
              0.65020001                     -0.08589114
              0.65109998                    -0.085102626
              0.65200001                    -0.084361522
              0.65289998                    -0.083682455
              0.65380001                    -0.083080158
              0.65469998                    -0.082569793
              0.65560001                    -0.082165064
              0.65649998                    -0.081878453
              0.65740001                    -0.081720996
              0.65829998                    -0.081703125
              0.65920001                    -0.081834114
              0.66009998                    -0.082120773
              0.66100001                    -0.082569209
              0.66189998                    -0.083184685
              0.66280001                     -0.08396905
              0.66369998                    -0.084923156
              0.66460001                    -0.086048005
              0.66549999                    -0.087340527
              0.66640002                    -0.088797684
              0.66729999                    -0.090413689
              0.66820002                    -0.092181765
              0.66909999                    -0.094094703
              0.67000002                      -0.0961419
              0.67089999                    -0.098313549
